alert.category, tactic, technique
A Network Trojan was detected,TA0002|TA0003|TA0011,T1059|T1105|T1071|T1547
Attempted Administrator Privilege Gain,TA0004|TA0006,T1068|T1078|T1548
Attempted Denial of Service,TA0040,T1499|T1498
Attempted Information Leak,TA0007|TA0009,T1046|T1083|T1005
Attempted User Privilege Gain,TA0004,T1068|T1078
Decode of an RPC Query,TA0043|TA0007,T1046|T1210
Detection of a Denial of Service Attack,TA0040,T1498|T1499
Detection of a Network Scan,TA0043,T1595|T1046
Potential Corporate Privacy Violation,TA0009|TA0010,T1041|T1567
Potentially Bad Traffic,TA0001|TA0002|TA0043,T1190|T1059|T1595
Successful Administrator Privilege Gain,TA0004|TA0006,T1068|T1078
Web Application Attack,TA0001|TA0002,T1190|T1059|T1056|T1203
