technique_id,technique_name
T1005,Data from Local System
T1041,Exfiltration Over Command and Control Channel
T1046,Network Service Scanning
T1056,Input Capture
T1059,Command and Scripting Interpreter
T1068,Exploitation for Privilege Escalation
T1071,Application Layer Protocol
T1078,Valid Accounts
T1083,File and Directory Discovery
T1105,Ingress Tool Transfer
T1190,Exploit Public-Facing Application
T1203,Exploitation for Client Execution
T1210,Exploitation of Remote Services
T1498,Network Denial of Service
T1499,Endpoint Denial of Service
T1547,Boot or Logon Autostart Execution
T1548,Abuse Elevation Control Mechanisms
T1567,Exfiltration Over Web Services
T1595,Active Scanning
